,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,6779.5,20799.5,20783.75,19766.25,15984.375,32707.5,7173.75,7620.0,7620.0,16025.625,17602.5,19416.0,19416.0,20799.5
1,2227.5,12967.5,12899.25,12090.75,9130.875,27110.0,1806.25,2155.5,2155.5,12284.625,11993.75,13493.25,13493.25,12967.5
2,430.3125,11849.0625,11776.125,11002.625,8180.5625,25487.8125,2164.0625,1786.3125,1786.3125,11197.4375,10919.0625,12353.5625,12353.5625,11849.0625
3,2295.5625,5996.8125,5821.125,5253.625,3239.8125,16652.5625,1944.8125,1639.0625,1639.0625,5547.1875,5335.8125,6394.3125,6394.3125,5996.8125
4,,,,,,8288.5,,,,,,,,
5,,,6707.625,6152.125,859.5625,640.0625,,,,,,,,
6,2873.75,4585.75,4375.75,3869.25,2094.625,14357.25,1978.0,1688.75,1688.75,4196.875,4005.0,4952.5,4952.5,4585.75
7,2576.25,7051.5,7376.25,6756.75,4154.375,16377.75,1633.5,1331.25,1331.25,5346.875,5134.5,6188.0,6188.0,7051.5
8,2882.8125,6394.3125,6686.875,6092.375,3600.3125,15394.3125,1937.5625,1632.8125,1632.8125,4753.4375,4548.5625,5557.0625,5557.0625,6394.3125
9,3190.625,3918.625,3685.0,3208.5,1551.25,13253.625,2291.875,1999.625,1999.625,3561.25,3378.375,4271.875,4271.875,3918.625
10,,,,,5249.5625,7983.5625,,,,,,,,
11,,,4795.0,4323.0,1543.125,2612.75,,,,,,,,
