,Bin1.csv,Bin10.csv,Bin11.csv,Bin12.csv,Bin13.csv,Bin14.csv,Bin2.csv,Bin3.csv,Bin4.csv,Bin5.csv,Bin6.csv,Bin7.csv,Bin8.csv,Bin9.csv
B06.csv,14.0,34.0,32.5,31.5,27.5,42.0,15.0,16.0,16.0,27.5,30.0,32.0,32.0,34.0
B07.csv,6.0,26.0,24.5,23.5,19.5,40.0,5.0,6.0,6.0,25.5,25.0,27.0,27.0,26.0
B08.csv,1.25,24.75,23.25,22.25,18.25,38.75,6.25,5.25,5.25,24.25,23.75,25.75,25.75,24.75
B09.csv,8.25,15.75,14.25,13.25,9.25,29.75,7.25,6.25,6.25,15.25,14.75,16.75,16.75,15.75
B10.csv,,,,,,22.0,,,,,,,,
B11.csv,,,23.25,22.25,4.25,1.75,,,,,,,,
G06.csv,11.0,13.0,11.5,10.5,6.5,27.0,8.0,7.0,7.0,12.5,12.0,14.0,14.0,13.0
G07.csv,9.0,18.0,17.5,16.5,11.5,29.0,6.0,5.0,5.0,14.5,14.0,16.0,16.0,18.0
G08.csv,10.25,16.75,16.25,15.25,10.25,27.75,7.25,6.25,6.25,13.25,12.75,14.75,14.75,16.75
G09.csv,12.5,11.5,10.0,9.0,5.0,25.5,9.5,8.5,8.5,11.0,10.5,12.5,12.5,11.5
G10.csv,,,,,22.75,20.25,,,,,,,,
G11.csv,,,17.5,16.5,7.5,7.0,,,,,,,,
